"num_storms_per_year_96","Freq"
"1980",2
"1981",3
"1982",1
"1983",1
"1984",1
"1985",3
"1987",1
"1988",3
"1989",2
"1990",1
"1991",2
"1992",1
"1993",1
"1995",5
"1996",6
"1997",1
"1998",3
"1999",5
"2000",3
"2001",4
"2002",2
"2003",3
"2004",6
"2005",7
"2006",2
"2007",2
"2008",5
"2009",2
"2010",5
