"","mean","sd","q1","q2","q3"
"35 knots",12.1612903225806,4.99397486439775,8.5,12,15
"64 knots",6.61290322580645,3.11638058603073,4,7,9
"96 knots",2.86206896551724,1.78733916221521,1,2,4
